resolution,fixed,won't fix,not a problem,duplicate,invalid,later,resolved,abandoned,cannot reproduce,implemented,done,pending closed,not a bug,information provided,workaround,incomplete,delivered,won't do,works for me,auto closed,obsolete,can't do,duplicate ticket,feedback received,complete,works as designed,remind,rejected,out of date,duplicate issue,deferred,incomplete description,partially completed,explained,timed out,handled by support,incorrectly filed,answered,tracked elsewhere,spam,deployed,support request,resolved locally,unsolved mysteries,low engagement,staged,migrated to another its,unresolved,mirrororphan,resolved at apache,upstream,stop dots,will not implement,test pending,current release,next release,roadmap candidate,declined,canceled,sent to docs,bugzillaorphan,errata,parked,automatically closed,out of scope,sent to forums,known error,deprioritized,done-errata,gone away,community answered
Apache-DIRMINA,71.85%,6.99%,3.22%,2.67%,5.80%,0.09%,0.00%,5.24%,1.66%,0.00%,0.00%,0.00%,0.74%,0.00%,0.00%,1.10%,0.00%,0.55%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.09%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
RedHat-OCPPLAN,0.00%,0.00%,0.00%,1.14%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,61.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,15.92%,0.00%,0.00%,21.72%,0.00%,0.09%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.09%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Apache-FLINK,68.17%,4.40%,3.01%,7.38%,2.22%,0.51%,1.20%,1.52%,1.89%,3.59%,3.11%,0.02%,0.66%,0.42%,0.12%,0.13%,0.00%,1.60%,0.01%,0.00%,0.00%,0.00%,0.00%,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Apache-METRON,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Spring-DATAMONGO,49.21%,4.88%,0.00%,6.23%,2.39%,0.00%,0.00%,0.00%,1.67%,0.00%,1.04%,0.00%,0.00%,0.00%,0.00%,0.05%,0.00%,0.05%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,25.24%,9.16%,0.00%,0.00%,0.00%,0.00%,0.09%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Apache-LOG4J2,76.27%,3.25%,5.27%,4.24%,2.30%,0.22%,0.29%,1.13%,0.99%,0.69%,0.51%,0.00%,1.24%,2.08%,0.37%,0.40%,0.04%,0.59%,0.07%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Apache-BOOKKEEPER,77.79%,6.75%,1.86%,5.58%,0.78%,0.00%,0.00%,0.00%,0.68%,0.68%,1.86%,0.00%,0.10%,0.00%,0.00%,0.00%,0.00%,3.91%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Apache-STR,50.60%,13.74%,3.15%,10.05%,0.14%,0.00%,0.00%,0.00%,3.98%,0.00%,0.04%,0.00%,0.04%,0.00%,0.00%,18.26%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Apache-YARN,76.18%,4.06%,1.97%,12.04%,2.99%,0.26%,0.20%,0.07%,0.86%,0.33%,0.41%,0.01%,0.21%,0.07%,0.04%,0.04%,0.00%,0.22%,0.04%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
RedHat-MON,0.00%,0.00%,0.00%,2.88%,0.00%,0.00%,0.00%,0.00%,0.11%,0.00%,78.65%,0.00%,0.66%,0.00%,0.00%,0.00%,0.00%,4.31%,0.00%,0.00%,13.38%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Spring-SPR,28.40%,16.06%,0.00%,4.80%,5.06%,0.00%,0.00%,0.00%,2.75%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.80%,0.00%,1.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,36.59%,4.28%,0.00%,0.00%,0.00%,0.00%,0.16%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
RedHat-JBEAP,0.02%,2.92%,0.00%,0.92%,0.00%,0.00%,0.00%,0.00%,1.31%,0.00%,62.55%,0.00%,0.80%,0.00%,0.00%,0.00%,0.00%,6.18%,0.00%,0.00%,1.37%,0.02%,0.03%,0.00%,0.00%,0.00%,0.00%,6.99%,7.88%,5.96%,1.88%,0.11%,0.05%,0.71%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.31%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Apache-PHOENIX,79.92%,2.49%,3.04%,6.51%,2.81%,0.21%,1.33%,0.02%,1.50%,0.46%,0.21%,0.04%,0.57%,0.11%,0.06%,0.27%,0.00%,0.47%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Apache-JCR,84.97%,3.15%,1.10%,3.87%,3.97%,0.38%,0.00%,0.10%,1.43%,0.00%,0.10%,0.00%,0.26%,0.00%,0.00%,0.55%,0.00%,0.12%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Apache-FALCON,86.20%,1.22%,1.11%,4.21%,2.77%,2.38%,0.06%,0.00%,0.78%,0.61%,0.17%,0.22%,0.11%,0.06%,0.00%,0.06%,0.00%,0.00%,0.06%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
RedHat-WELD,0.00%,2.18%,0.00%,0.28%,0.00%,0.00%,0.00%,0.00%,1.55%,0.00%,77.91%,0.00%,0.28%,0.00%,0.00%,0.00%,0.00%,0.60%,0.00%,0.00%,0.12%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,8.17%,4.80%,2.58%,0.36%,0.40%,0.56%,0.24%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Apache-BIGTOP,85.75%,3.56%,1.43%,4.12%,1.58%,0.06%,0.28%,0.12%,1.12%,0.37%,0.99%,0.06%,0.12%,0.03%,0.03%,0.03%,0.00%,0.31%,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Apache-SSHD,75.04%,4.86%,5.51%,3.32%,0.57%,0.08%,0.00%,0.57%,1.54%,0.41%,0.32%,0.00%,0.73%,5.67%,0.81%,0.24%,0.00%,0.24%,0.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
RedHat-OSSM,0.07%,0.20%,0.00%,2.13%,0.00%,0.00%,0.00%,0.00%,0.20%,0.00%,83.10%,0.00%,1.06%,0.00%,0.00%,0.00%,0.00%,8.25%,0.00%,0.00%,2.13%,0.20%,0.07%,0.00%,0.00%,0.00%,0.00%,1.73%,0.60%,0.13%,0.00%,0.00%,0.00%,0.07%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.07%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
JiraEcosystem-PLE,62.04%,21.61%,0.00%,5.20%,3.74%,0.00%,0.00%,0.00%,3.07%,0.00%,0.00%,0.00%,0.73%,0.00%,0.00%,1.07%,0.00%,0.00%,0.00%,0.00%,0.53%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.13%,0.33%,0.00%,1.13%,0.13%,0.00%,0.00%,0.00%,0.27%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Apache-SCB,79.57%,3.84%,0.44%,1.63%,0.35%,0.13%,2.34%,0.00%,0.04%,1.85%,9.31%,0.00%,0.04%,0.00%,0.00%,0.04%,0.00%,0.40%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Apache-SLIDER,88.27%,3.12%,1.97%,4.26%,0.62%,0.00%,0.00%,0.00%,1.14%,0.00%,0.31%,0.00%,0.21%,0.00%,0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
RedHat-RFE,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Jira-OPSGENIE,53.20%,1.48%,0.00%,22.66%,3.45%,0.00%,0.00%,0.00%,2.96%,0.00%,1.97%,0.00%,6.90%,0.00%,0.00%,0.00%,0.00%,1.48%,0.00%,0.00%,0.49%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.48%,0.00%,1.48%,1.48%,0.49%,0.00%,0.00%,0.49%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
RedHat-QUARKUS,2.44%,0.55%,0.00%,2.44%,0.00%,0.00%,0.00%,0.00%,0.32%,0.00%,78.71%,0.00%,3.47%,0.00%,0.00%,0.08%,0.00%,6.62%,0.00%,0.00%,1.34%,0.16%,0.24%,0.00%,0.00%,0.00%,0.00%,0.47%,0.24%,2.44%,0.08%,0.00%,0.00%,0.32%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
RedHat-ENTESB,0.27%,4.17%,0.00%,0.40%,0.00%,0.00%,0.00%,0.00%,1.74%,0.00%,72.62%,0.00%,0.73%,0.00%,0.00%,0.00%,0.00%,5.34%,0.00%,0.00%,0.92%,0.02%,0.01%,0.00%,0.00%,0.00%,0.00%,2.33%,4.68%,3.81%,0.15%,0.17%,0.44%,1.65%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.12%,0.00%,0.00%,0.34%,0.06%,0.00%,0.00%,0.00%,0.01%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
RedHat-FUSETOOLS,0.00%,2.16%,0.00%,0.49%,0.00%,0.00%,0.00%,0.00%,3.13%,0.00%,75.94%,0.00%,0.10%,0.00%,0.00%,0.00%,0.00%,3.41%,0.00%,0.00%,0.87%,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,3.96%,5.22%,3.65%,0.03%,0.31%,0.24%,0.21%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.00%,0.00%,0.10%,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Apache-RAVE,94.56%,1.27%,1.50%,1.50%,0.23%,0.12%,0.00%,0.00%,0.46%,0.12%,0.12%,0.00%,0.00%,0.00%,0.00%,0.12%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Apache-HIVE,84.28%,2.75%,1.69%,6.99%,1.66%,0.14%,0.11%,0.08%,0.90%,0.23%,0.36%,0.06%,0.24%,0.06%,0.04%,0.24%,0.00%,0.13%,0.02%,0.02%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Apache-KNOX,90.47%,2.19%,0.55%,2.85%,1.41%,0.00%,0.08%,0.35%,0.78%,0.31%,0.04%,0.00%,0.47%,0.20%,0.08%,0.16%,0.00%,0.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Apache-NETBEANS,53.79%,2.01%,2.79%,9.59%,4.39%,0.14%,0.88%,1.90%,4.01%,4.49%,0.68%,0.00%,1.90%,3.43%,0.44%,8.81%,0.00%,0.31%,0.37%,0.03%,0.00%,0.00%,0.00%,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Apache-SLING,84.07%,3.49%,0.81%,1.69%,1.24%,0.09%,0.08%,0.10%,0.43%,0.27%,7.25%,0.01%,0.16%,0.00%,0.00%,0.10%,0.00%,0.17%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Spring-STS,41.62%,22.80%,0.00%,6.72%,1.36%,0.00%,0.00%,0.00%,5.17%,0.00%,0.27%,0.00%,0.00%,0.00%,0.00%,0.20%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,18.63%,3.20%,0.00%,0.00%,0.00%,0.00%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Apache-WW,67.78%,9.96%,12.55%,3.58%,0.67%,0.00%,0.12%,0.00%,2.32%,0.71%,0.10%,0.00%,0.24%,0.00%,0.02%,1.32%,0.00%,0.65%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Jira-CLOUD,40.30%,26.56%,0.00%,9.28%,3.74%,0.00%,0.00%,0.00%,2.04%,0.00%,0.26%,0.00%,1.66%,0.00%,0.00%,0.23%,0.00%,0.08%,0.00%,0.00%,8.63%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.78%,1.33%,0.10%,0.59%,0.64%,1.16%,0.12%,2.23%,0.16%,0.00%,0.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Apache-AIRAVATA,86.41%,3.54%,1.14%,2.01%,3.47%,0.52%,0.14%,0.49%,1.28%,0.14%,0.42%,0.00%,0.07%,0.00%,0.21%,0.10%,0.07%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Apache-CALCITE,85.81%,1.59%,2.93%,4.90%,2.27%,0.08%,0.35%,0.20%,0.68%,0.10%,0.03%,0.00%,0.68%,0.03%,0.03%,0.05%,0.00%,0.18%,0.08%,0.00%,0.00%,0.00%,0.00%,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
